id,qid1,qid2,question1,question2,is_duplicate,cwc_min,cwc_max,csc_min,csc_max,ctc_min,ctc_max,last_word_eq,first_word_eq,abs_len_diff,mean_len,token_set_ratio,token_sort_ratio,fuzz_ratio,fuzz_partial_ratio,longest_substr_ratio
0,1,2,what is the step by step guide to invest in share market in india ,what is the step by step guide to invest in share market ,0,0.999980000399992,0.8333194446759221,0.9999833336111064,0.9999833336111064,0.9166590278414348,0.7857086735094749,0.0,1.0,2.0,13.0,100,93,93,100,0.9827586206896552
1,3,4,what is the story of kohinoor  koh i noor  diamond ,what would happen if the indian government stole the kohinoor  koh i noor  diamond back ,0,0.7999840003199936,0.3999960000399996,0.7499812504687383,0.5999880002399952,0.6999930000699993,0.4666635555762962,0.0,1.0,5.0,12.5,86,63,66,75,0.5961538461538461
2,5,6,how can i increase the speed of my internet connection while using a vpn ,how can internet speed be increased by hacking through dns ,0,0.3999920001599968,0.3333277778703688,0.3999920001599968,0.249996875039062,0.3999960000399996,0.2857122449125363,0.0,1.0,4.0,12.0,66,66,54,54,0.1666666666666666
3,7,8,why am i mentally very lonely  how can i solve it ,find the remainder when  math 23  24   math  is divided by 24 23 ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,36,36,35,40,0.0392156862745098
4,9,10,which one dissolve in water quikly sugar  salt  methane and carbon di oxide ,which fish would survive in salt water ,0,0.3999920001599968,0.1999980000199998,0.9999500024998748,0.6666444451851604,0.5714204082798817,0.3076899408466089,0.0,1.0,6.0,10.0,67,47,46,56,0.175
5,11,12,astrology  i am a capricorn sun cap moon and cap rising   what does that say about me ,i am a triple capricorn  sun  moon and ascendant in capricorn  what does this say about me ,1,0.6666555557407376,0.5714204082798817,0.8888790124554172,0.7999920000799993,0.7058782007164663,0.7058782007164663,1.0,0.0,0.0,17.0,83,77,73,73,0.160919540229885
6,13,14,should i buy tiago ,what keeps childern active and far from phone and video games ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.5,24,23,25,42,0.1
7,15,16,how can i be a good geologist ,what should i do to be a great geologist ,1,0.4999750012499374,0.4999750012499374,0.5999880002399952,0.4285653062099113,0.5714204082798817,0.4444395062277086,1.0,0.0,2.0,8.0,71,64,61,67,0.3548387096774194
8,17,18,when do you use ? instead of ? ,when do you use     instead of  and  ,0,0.9999500024998748,0.4999875003124922,0.9999750006249843,0.7999840003199936,0.8571306124198226,0.7499906251171861,0.0,1.0,1.0,7.5,93,87,86,90,0.5
9,19,20,motorola  company   can i hack my charter motorolla dcx3400 ,how do i hack motorola dcx3400 for free internet ,0,0.5999880002399952,0.4999916668055532,0.3333222225925802,0.2499937501562461,0.4444395062277086,0.4444395062277086,0.0,0.0,0.0,9.0,65,50,50,55,0.22
10,21,22,method to find separation of slits using fresnel biprism ,what are some of the things technicians can tell about the durability and reliability of laptops and its components ,0,0.0,0.0,0.4999750012499374,0.1111098765569271,0.1111098765569271,0.0526313019405161,0.0,0.0,10.0,14.0,40,36,36,42,0.0689655172413793
11,23,24,how do i read and find my youtube comments ,how can i see all my youtube comments ,1,0.6666444451851604,0.4999875003124922,0.5999880002399952,0.5999880002399952,0.6249921875976551,0.5555493827846357,1.0,1.0,1.0,8.5,81,76,76,74,0.5384615384615384
12,25,26,what can make physics easy to learn ,how can you make physics easy to learn ,1,0.9999750006249843,0.9999750006249843,0.6666444451851604,0.4999875003124922,0.8571306124198226,0.7499906251171861,1.0,0.0,1.0,7.5,92,85,88,89,0.7567567567567568
13,27,28,what was your first sexual experience like ,what was your first sexual experience ,1,0.9999666677777408,0.7499812504687383,0.9999666677777408,0.9999666677777408,0.9999833336111064,0.8571306124198226,0.0,1.0,1.0,6.5,100,94,94,100,0.9743589743589745
14,29,30,what are the laws to change your status from a student visa to a green card in the us  how do they compare to the immigration laws in canada ,what are the laws to change your status from a student visa to a green card in the us  how do they compare to the immigration laws in japan ,0,0.90908264470323,0.90908264470323,0.999990909173553,0.999990909173553,0.7241354340157448,0.7241354340157448,0.0,1.0,0.0,29.0,97,95,97,97,0.950354609929078
15,31,32,what would a trump presidency mean for current international master own students on an f1 visa ,how will a trump presidency affect the students presently in us or planning to study in us ,1,0.374995312558593,0.2999970000299997,0.1666638889351844,0.1428551020699704,0.2499984375097655,0.2352927335721554,0.0,0.0,1.0,16.5,61,57,55,56,0.217391304347826
16,33,34,what does manipulation mean ,what does manipulation means ,1,0.4999750012499374,0.4999750012499374,0.9999500024998748,0.9999500024998748,0.7499812504687383,0.7499812504687383,0.0,1.0,0.0,4.0,98,98,98,96,0.9310344827586208
17,35,36,why do girls want to be friends with the guy they reject ,how do guys feel after rejecting a girl ,0,0.0,0.0,0.2499937501562461,0.1428551020699704,0.124998437519531,0.0833326388946758,0.0,0.0,4.0,10.0,51,51,44,45,0.1707317073170731
18,37,38,why are so many quora users posting questions that are readily answered on google ,why do people ask quora questions which can be answered easily by google ,1,0.5714204082798817,0.499993750078124,0.1999960000799984,0.1666638889351844,0.384612426058261,0.3571403061406704,1.0,1.0,1.0,13.5,72,61,61,59,0.1486486486486486
19,39,40,which is the best digital marketing institution in banglore ,which is the best digital marketing institute in pune ,0,0.5999880002399952,0.5999880002399952,0.9999750006249843,0.9999750006249843,0.7777691358984901,0.7777691358984901,0.0,1.0,0.0,9.0,86,84,89,91,0.8
20,41,42,why do rockets look white ,why are rockets and boosters painted white ,1,0.6666444451851604,0.4999875003124922,0.4999750012499374,0.3333222225925802,0.5999880002399952,0.4285653062099113,1.0,1.0,2.0,6.0,81,66,63,65,0.3333333333333333
21,43,44,what is causing someone to be jealous ,what can i do to avoid being jealous of someone ,0,0.6666444451851604,0.6666444451851604,0.4999875003124922,0.2857102041399408,0.5714204082798817,0.3999960000399996,0.0,1.0,3.0,8.5,77,76,57,66,0.2307692307692307
22,45,46,what are the questions should not ask on quora ,which question should i ask on quora ,0,0.6666444451851604,0.6666444451851604,0.4999875003124922,0.3333277778703688,0.5714204082798817,0.4444395062277086,1.0,0.0,2.0,8.0,78,78,80,86,0.3684210526315789
23,47,48,how much is 30 kv in hp ,where can i find a conversion chart for cc to horsepower ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,30,30,33,42,0.08
24,49,50,what does it mean that every time i look at the clock the numbers are the same ,how many times a day do a clock own hands overlap ,0,0.1666638889351844,0.1666638889351844,0.0,0.0,0.090908264470323,0.0588231833930388,0.0,0.0,6.0,14.0,50,47,47,50,0.1372549019607843
25,51,52,what are some tips on making it through the job interview process at medicines ,what are some tips on making it through the job interview process at foundation medicine ,0,0.8333194446759221,0.7142755103498521,0.999987500156248,0.999987500156248,0.9285647959657432,0.8666608889274071,0.0,1.0,1.0,14.5,93,93,93,91,0.8625
26,53,54,what is web application ,what is the web application framework ,0,0.9999500024998748,0.6666444451851604,0.9999500024998748,0.6666444451851604,0.9999750006249843,0.6666555557407376,0.0,1.0,2.0,5.0,100,77,77,83,0.68
27,55,56,does society place too much importance on sports ,how do sports contribute to the society ,0,0.6666444451851604,0.3999920001599968,0.0,0.0,0.2857102041399408,0.249996875039062,0.0,0.0,1.0,7.5,62,57,44,48,0.2195121951219512
28,57,58,what is best way to make money online ,what is best way to ask for money online ,0,0.7999840003199936,0.7999840003199936,0.9999666677777408,0.7499812504687383,0.874989062636717,0.7777691358984901,1.0,1.0,1.0,8.5,93,83,91,87,0.5128205128205128
29,59,60,how should i prepare for ca final law ,how one should know that he she completely prepare for ca final exam ,1,0.7499812504687383,0.4285653062099113,0.7499812504687383,0.4999916668055532,0.7499906251171861,0.4615349112699133,0.0,1.0,5.0,10.5,91,63,65,71,0.5641025641025641
30,61,62,what is one thing you would like to do better ,what is one thing you do despite knowing better ,0,0.5999880002399952,0.5999880002399952,0.9999750006249843,0.7999840003199936,0.7777691358984901,0.6999930000699993,1.0,1.0,1.0,9.5,82,72,76,74,0.4680851063829787
31,63,64,what are some special cares for someone with a nose that gets stuffy during the night ,how can i keep my nose from getting stuffy at night ,1,0.5999880002399952,0.4285653062099113,0.0,0.0,0.272724793410969,0.1874988281323241,1.0,0.0,5.0,13.5,54,46,51,60,0.1509433962264151
32,65,66,what game of thrones villain would be the most likely to give you mercy ,what game of thrones villain would you most like to be at the mercy of ,1,0.8333194446759221,0.7142755103498521,0.999985714489793,0.874989062636717,0.857136734737609,0.799994666702222,0.0,1.0,1.0,14.5,94,91,81,80,0.4861111111111111
33,67,68,does the united states government still blacklist  employment  etc   some united states citizens because their political views ,how is the average speed of gas molecules determined ,0,0.0,0.0,0.2499937501562461,0.1999960000799984,0.1111098765569271,0.0588231833930388,0.0,0.0,8.0,13.0,38,34,37,43,0.1111111111111111
34,69,70,what is the best travel website in spain ,what is the best travel website ,0,0.9999666677777408,0.7499812504687383,0.9999666677777408,0.7499812504687383,0.9999833336111064,0.7499906251171861,0.0,1.0,2.0,7.0,100,87,87,100,0.9696969696969696
35,71,72,why do some people think obama will try to take their guns away ,has there been a gun control initiative to take away guns people already own ,0,0.5714204082798817,0.499993750078124,0.1666638889351844,0.1666638889351844,0.384612426058261,0.3571403061406704,0.0,0.0,1.0,13.5,59,49,45,45,0.1384615384615384
36,73,74,i am a 19 year old  how can i improve my skills or what should i do to become an entrepreneur in the next few years ,i am a 19 year old guy  how can i become a billionaire in the next 10 years ,0,0.6666592593415629,0.6666592593415629,0.999985714489793,0.4666635555762962,0.7222182098988339,0.4999980769304733,1.0,1.0,8.0,22.0,84,61,64,61,0.2467532467532467
37,75,76,when a girlfriend asks her boyfriend  why did you choose me  what makes you want to be with me    what should one reply to her ,my girlfriend said that we should end this because she is confused about her feelings for me  i wished her well and disconnected  should i call her and ask her if she wants to get back together ,0,0.124998437519531,0.071428061228134,0.3333305555787035,0.2499984375097655,0.1999992000031999,0.1351347699060272,0.0,0.0,12.0,31.0,54,51,45,47,0.09375
38,77,78,how do we prepare for upsc ,how do i prepare for civil service ,1,0.4999750012499374,0.3333222225925802,0.7499812504687383,0.7499812504687383,0.6666555557407376,0.5714204082798817,0.0,1.0,1.0,6.5,82,73,73,81,0.4642857142857143
39,79,80,what is the stall speed and aoa of an f 14 with wings fully swept back ,why did aircraft stop using variable sweep wings  like those on an f 14 ,0,0.3333296296707814,0.3333296296707814,0.1999960000799984,0.1428551020699704,0.2857122449125363,0.2499984375097655,0.0,0.0,2.0,15.0,56,51,43,44,0.125
